output_dir,output_name,exists,file_path,file_name,extension,category,size_bytes,modified_time
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\planner_stderr.txt,planner_stderr.txt,.txt,log,1132,2026-05-19T20:14:54
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\planner_stdout.txt,planner_stdout.txt,.txt,log,2317,2026-05-19T20:14:54
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\routes_file.txt,routes_file.txt,.txt,log,955,2026-05-19T20:14:53
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\routes_file_node_estimation.txt,routes_file_node_estimation.txt,.txt,log,769,2026-05-19T20:14:42
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\run_config.json,run_config.json,.json,json,451,2026-05-19T20:10:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\trajectory_routes.json,trajectory_routes.json,.json,trajectories_json,1519,2026-05-19T20:14:54
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\trajectory_waypoints.csv,trajectory_waypoints.csv,.csv,trajectories_csv,843,2026-05-19T20:14:54
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\Utils.py,Utils.py,.py,script_copy,25337,2026-04-22T15:34:44
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\VRP_instance_problem.vrp,VRP_instance_problem.vrp,.vrp,planner_run_artifact,779555,2026-05-19T20:13:42
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__enriched_boundary_alpha025\C01_representative__enriched_boundary_alpha025_planner_interface.nc,C01_representative__enriched_boundary_alpha025_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:14:54
