date,day_index_370,step00_time_index,class_id,class_label,priority_rank,hres_window_end_date,hres_available,predmodel_path,predmodel_already_exists,generation_status
2024-05-26,212,211,6,C06,17,2024-05-25,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-26\python_dss_predModel_1_100real.nc,False,pending
2024-06-01,218,217,6,C06,69,2024-05-31,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-01\python_dss_predModel_1_100real.nc,False,pending
2024-06-02,219,218,6,C06,57,2024-06-01,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-02\python_dss_predModel_1_100real.nc,False,pending
2024-06-12,229,228,6,C06,26,2024-06-11,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-12\python_dss_predModel_1_100real.nc,False,pending
2024-06-13,230,229,6,C06,44,2024-06-12,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-13\python_dss_predModel_1_100real.nc,False,pending
2024-06-14,231,230,6,C06,63,2024-06-13,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-14\python_dss_predModel_1_100real.nc,False,pending
2024-06-15,232,231,6,C06,21,2024-06-14,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-15\python_dss_predModel_1_100real.nc,False,pending
2024-06-16,233,232,6,C06,52,2024-06-15,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-16\python_dss_predModel_1_100real.nc,False,pending
2024-06-17,234,233,6,C06,103,2024-06-16,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-17\python_dss_predModel_1_100real.nc,False,pending
2024-06-21,238,237,6,C06,80,2024-06-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-21\python_dss_predModel_1_100real.nc,False,pending
2024-06-22,239,238,6,C06,70,2024-06-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-22\python_dss_predModel_1_100real.nc,False,pending
2024-06-23,240,239,6,C06,87,2024-06-22,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-23\python_dss_predModel_1_100real.nc,False,pending
2024-06-24,241,240,6,C06,93,2024-06-23,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-24\python_dss_predModel_1_100real.nc,False,pending
2024-06-25,242,241,6,C06,95,2024-06-24,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-25\python_dss_predModel_1_100real.nc,False,pending
2024-07-07,254,253,6,C06,113,2024-07-06,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-07\python_dss_predModel_1_100real.nc,False,pending
2024-08-25,303,302,6,C06,99,2024-08-24,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-25\python_dss_predModel_1_100real.nc,False,pending
2024-08-26,304,303,6,C06,83,2024-08-25,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-26\python_dss_predModel_1_100real.nc,False,pending
2024-08-27,305,304,6,C06,98,2024-08-26,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-27\python_dss_predModel_1_100real.nc,False,pending
