stage,x0,y0,w,h,x1,y1,scale_x_idx_per_outpix,scale_y_idx_per_outpix,iou,dice,hamming,intersection,union,target_sum,pred_sum
stage3,46,50,132,70,177,119,1.1801801801801801,1.0952380952380953,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,49,54,132,72,180,125,1.1801801801801801,1.126984126984127,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,49,54,132,73,180,126,1.1801801801801801,1.1428571428571428,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,47,51,132,74,178,124,1.1801801801801801,1.1587301587301588,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,45,50,133,70,177,119,1.1891891891891893,1.0952380952380953,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,48,54,133,72,180,125,1.1891891891891893,1.126984126984127,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,48,54,133,73,180,126,1.1891891891891893,1.1428571428571428,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,44,50,134,68,177,117,1.1981981981981982,1.0634920634920635,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,47,54,134,72,180,125,1.1981981981981982,1.126984126984127,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,43,50,135,67,177,116,1.2072072072072073,1.0476190476190477,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,43,50,135,68,177,117,1.2072072072072073,1.0634920634920635,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,46,54,135,72,180,125,1.2072072072072073,1.126984126984127,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,42,56,127,70,168,125,1.135135135135135,1.0952380952380953,0.9800452872912538,0.9899220927739261,0.019670758928571428,6925,7066,6925,7066
stage3,42,56,127,71,168,126,1.135135135135135,1.1111111111111112,0.9800452872912538,0.9899220927739261,0.019670758928571428,6925,7066,6925,7066
stage3,42,56,127,72,168,127,1.135135135135135,1.126984126984127,0.9800452872912538,0.9899220927739261,0.019670758928571428,6925,7066,6925,7066
stage3,42,56,127,73,168,128,1.135135135135135,1.1428571428571428,0.9800452872912538,0.9899220927739261,0.019670758928571428,6925,7066,6925,7066
stage3,42,56,127,74,168,129,1.135135135135135,1.1587301587301588,0.9800452872912538,0.9899220927739261,0.019670758928571428,6925,7066,6925,7066
stage3,46,57,134,70,179,126,1.1981981981981982,1.0952380952380953,0.9800229951135384,0.9899107207664949,0.019391741071428572,6819,6958,6925,6852
stage3,45,57,135,70,179,126,1.2072072072072073,1.0952380952380953,0.9800229951135384,0.9899107207664949,0.019391741071428572,6819,6958,6925,6852
stage3,50,56,130,72,179,127,1.162162162162162,1.126984126984127,0.980002877283844,0.9899004577490372,0.019391741071428572,6812,6951,6925,6838
stage3,50,56,130,73,179,128,1.162162162162162,1.1428571428571428,0.980002877283844,0.9899004577490372,0.019391741071428572,6812,6951,6925,6838
stage3,49,56,131,72,179,127,1.1711711711711712,1.126984126984127,0.980002877283844,0.9899004577490372,0.019391741071428572,6812,6951,6925,6838
stage3,49,56,131,73,179,128,1.1711711711711712,1.1428571428571428,0.980002877283844,0.9899004577490372,0.019391741071428572,6812,6951,6925,6838
stage3,50,56,130,68,179,123,1.162162162162162,1.0634920634920635,0.9799654078985298,0.9898813423600495,0.019391741071428572,6799,6938,6925,6812
stage3,50,55,130,70,179,124,1.162162162162162,1.0952380952380953,0.9799654078985298,0.9898813423600495,0.019391741071428572,6799,6938,6925,6812
stage3,49,56,131,68,179,123,1.1711711711711712,1.0634920634920635,0.9799654078985298,0.9898813423600495,0.019391741071428572,6799,6938,6925,6812
stage3,49,55,131,70,179,124,1.1711711711711712,1.0952380952380953,0.9799654078985298,0.9898813423600495,0.019391741071428572,6799,6938,6925,6812
stage3,50,53,130,73,179,125,1.162162162162162,1.1428571428571428,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,49,51,130,74,178,124,1.162162162162162,1.1587301587301588,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,47,50,131,69,177,118,1.1711711711711712,1.0793650793650793,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,46,50,132,69,177,118,1.1801801801801801,1.0793650793650793,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,45,50,133,69,177,118,1.1891891891891893,1.0793650793650793,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,44,50,134,67,177,116,1.1981981981981982,1.0476190476190477,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,44,51,135,72,178,122,1.2072072072072073,1.126984126984127,0.979927797833935,0.9898621544745095,0.019391741071428572,6786,6925,6925,6786
stage3,42,57,127,66,168,122,1.135135135135135,1.0317460317460319,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,43,58,127,66,169,123,1.135135135135135,1.0317460317460319,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,57,127,67,168,123,1.135135135135135,1.0476190476190477,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,57,127,68,168,124,1.135135135135135,1.0634920634920635,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,57,127,69,168,125,1.135135135135135,1.0793650793650793,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,43,57,127,70,169,126,1.135135135135135,1.0952380952380953,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,44,58,127,71,170,128,1.135135135135135,1.1111111111111112,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,44,58,127,72,170,129,1.135135135135135,1.126984126984127,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,44,58,127,73,170,130,1.135135135135135,1.1428571428571428,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,44,58,127,74,170,131,1.135135135135135,1.1587301587301588,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,58,128,66,169,123,1.1441441441441442,1.0317460317460319,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,57,128,70,169,126,1.1441441441441442,1.0952380952380953,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,43,58,128,71,170,128,1.1441441441441442,1.1111111111111112,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,43,58,128,72,170,129,1.1441441441441442,1.126984126984127,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,43,58,128,73,170,130,1.1441441441441442,1.1428571428571428,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,43,58,128,74,170,131,1.1441441441441442,1.1587301587301588,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,58,129,71,170,128,1.1531531531531531,1.1111111111111112,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,58,129,72,170,129,1.1531531531531531,1.126984126984127,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,58,129,73,170,130,1.1531531531531531,1.1428571428571428,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,42,58,129,74,170,131,1.1531531531531531,1.1587301587301588,0.9799066081788594,0.9898513436249285,0.019810267857142856,6925,7067,6925,7067
stage3,48,57,132,72,179,128,1.1801801801801801,1.126984126984127,0.9798966111430213,0.9898462431099507,0.01953125,6824,6964,6925,6863
stage3,47,57,133,72,179,128,1.1891891891891893,1.126984126984127,0.9798966111430213,0.9898462431099507,0.01953125,6824,6964,6925,6863
stage3,46,57,134,72,179,128,1.1981981981981982,1.126984126984127,0.9798966111430213,0.9898462431099507,0.01953125,6824,6964,6925,6863
