z,old_mean,new_mean,old_std,new_std,old_valid_count,new_valid_count,spatial_overlap_count_oldgrid,spatial_corr_old_vs_newResampled,spatial_rmse,spatial_bias_new_minus_old
128,16.347103118896484,16.440837860107422,0.23639483749866486,0.4041173756122589,6925,7898,6098,-0.13850167001507704,0.461341917514801,0.02673703245818615
129,16.90652847290039,16.964250564575195,0.23071680963039398,0.3712317645549774,6925,7898,6098,0.0803668629599574,0.39652392268180847,-0.010104631073772907
130,17.28145980834961,17.00032615661621,0.19237244129180908,0.35222098231315613,6925,7898,6098,-0.15426885260767936,0.5210247039794922,-0.3281010687351227
131,17.09236717224121,16.694705963134766,0.22951161861419678,0.40026068687438965,6925,7898,6098,-0.46841501406268315,0.6844645142555237,-0.45215919613838196
132,16.50212287902832,16.642656326293945,0.5649450421333313,0.4001294672489166,6925,7898,6098,0.06764465551287108,0.5988448262214661,0.0034160770010203123
133,16.474870681762695,16.64841651916504,0.5901051759719849,0.405577689409256,6925,7898,6098,-0.04637833511329106,0.6626929640769958,0.034572500735521317
134,16.327049255371094,16.50016212463379,0.5983233451843262,0.42635515332221985,6925,7898,6098,0.05508796277871457,0.6479257345199585,0.029418785125017166
135,16.16582489013672,16.423852920532227,0.5993105173110962,0.43932029604911804,6925,7898,6098,0.07747849406411768,0.6819390654563904,0.1279805302619934
136,16.18061065673828,16.40311050415039,0.5203728675842285,0.43789225816726685,6925,7898,6098,-0.030183777382490815,0.6611768007278442,0.10903535038232803
137,16.216209411621094,16.392974853515625,0.4232884645462036,0.42454031109809875,6925,7898,6098,-0.031034518926977218,0.5782772302627563,0.0782078355550766
138,16.188512802124023,16.424020767211914,0.414185106754303,0.4234815537929535,6925,7898,6098,-0.02467180141244343,0.5874262452125549,0.14262011647224426
139,16.168058395385742,16.446680068969727,0.4423784911632538,0.44547799229621887,6925,7898,6098,0.041612620928869505,0.6070510149002075,0.17561952769756317
140,16.151872634887695,16.48393440246582,0.5038193464279175,0.47969090938568115,6925,7898,6098,0.16757164909456998,0.6229772567749023,0.2062268704175949
141,16.323598861694336,16.57802391052246,0.4827133119106293,0.46313712000846863,6925,7898,6098,0.14937129377353273,0.5943083167076111,0.13853755593299866
142,16.443714141845703,16.632408142089844,0.45054373145103455,0.45278772711753845,6925,7898,6098,0.07864403342706437,0.5936928987503052,0.08965729176998138
143,16.034576416015625,16.495426177978516,0.5627951622009277,0.5325121283531189,6925,7898,6098,0.33771534932435254,0.6719954013824463,0.3225792944431305
144,16.151376724243164,16.571142196655273,0.5382503867149353,0.5169337391853333,6925,7898,6098,0.364120101254936,0.6216486692428589,0.28409385681152344
145,16.81409454345703,16.76665687561035,0.44357356429100037,0.46859127283096313,6925,7898,6098,0.20676386141852876,0.5536222457885742,-0.16575750708580017
146,16.63827896118164,16.752544403076172,0.4476853907108307,0.4637608826160431,6925,7898,6098,0.3344965587050091,0.49527812004089355,0.004239281173795462
147,15.899444580078125,16.558717727661133,0.6352010369300842,0.6005760431289673,6925,7898,6098,0.5070170682382871,0.7755312323570251,0.5115182995796204
148,15.600279808044434,16.499757766723633,0.5647187829017639,0.6645243167877197,6925,7898,6098,0.4857671649942115,0.9895672798156738,0.773130476474762
149,15.61196517944336,16.524255752563477,0.5445380210876465,0.7138190269470215,6925,7898,6098,0.5497934967301852,0.995055079460144,0.7843082547187805
150,15.731308937072754,16.559349060058594,0.5314396023750305,0.7404232025146484,6925,7898,6098,0.5072063922608445,0.9645242691040039,0.7075275182723999
151,15.898466110229492,16.629743576049805,0.45215484499931335,0.7172938585281372,6925,7898,6098,0.35316697315265866,0.9370800852775574,0.6264559626579285
152,16.212963104248047,16.840917587280273,0.36030715703964233,0.6796836256980896,6925,7898,6098,0.45384209382926616,0.8159462213516235,0.5357804298400879
153,16.792129516601562,17.236652374267578,0.2616315484046936,0.729126513004303,6925,7898,6098,0.6210544519085486,0.7300048470497131,0.38662561774253845
154,17.45880699157715,17.902542114257812,0.14258024096488953,0.6693183183670044,6925,7898,6098,0.24468730203313568,0.780439019203186,0.4163980185985565
155,17.844091415405273,18.159500122070312,0.08834259957075119,0.5293415784835815,6925,7898,6098,-0.08422525579776119,0.6252328753471375,0.29623645544052124
156,17.900938034057617,18.221036911010742,0.10797805339097977,0.434879332780838,6925,7898,6098,-0.1752814363380004,0.5460232496261597,0.28765127062797546
157,17.346500396728516,18.00108528137207,0.2212909311056137,0.4659804403781891,6925,7898,6098,0.30788675238080365,0.7404559850692749,0.581665575504303
158,17.447128295898438,17.998342514038086,0.39874958992004395,0.46621018648147583,6925,7898,6098,0.4046003252417729,0.6297632455825806,0.4364742040634155
159,17.675865173339844,18.223669052124023,0.29449817538261414,0.47519513964653015,6925,7898,6098,0.10699541883013644,0.6956956386566162,0.46700990200042725
160,17.89419174194336,18.078622817993164,0.18033578991889954,0.4544055759906769,6925,7898,6098,-0.3103408210406234,0.5517535209655762,0.14631731808185577
161,18.063783645629883,17.82760238647461,0.1624755859375,0.4404907822608948,6925,7898,6098,-0.4119050790884927,0.5846816897392273,-0.26866665482521057
162,17.3916015625,17.442323684692383,0.25951850414276123,0.44837093353271484,6925,7898,6098,-0.014413264548979588,0.4950322210788727,-0.02802102267742157
163,16.597164154052734,17.213510513305664,0.5242128372192383,0.5899155139923096,6925,7898,6098,0.5128840582243538,0.7151864171028137,0.4770725965499878
164,16.463233947753906,17.378259658813477,0.5902937650680542,0.6185709834098816,6925,7898,6098,0.50857912734956,0.966188371181488,0.7741771340370178
165,16.760835647583008,17.61428451538086,0.5269590020179749,0.5784799456596375,6925,7898,6098,0.49840588343696207,0.9072352051734924,0.728315532207489
166,16.47258758544922,17.5062255859375,0.523654580116272,0.6189205646514893,6925,7898,6098,0.6300059895693715,1.0277806520462036,0.8982477188110352
167,16.76259422302246,17.714637756347656,0.4794037938117981,0.5487074255943298,6925,7898,6098,0.6105016904509929,0.9449515342712402,0.8280308246612549
168,17.00994110107422,17.841283798217773,0.4344674348831177,0.5204651355743408,6925,7898,6098,0.4658283138497481,0.8821550011634827,0.7299501299858093
169,17.32303237915039,17.97342872619629,0.37831833958625793,0.40973779559135437,6925,7898,6098,0.17779473171607407,0.7555587291717529,0.5691783428192139
170,17.60664176940918,17.981794357299805,0.34356188774108887,0.37760788202285767,6925,7898,6098,-0.14624633507939716,0.6168778538703918,0.30646878480911255
171,17.223617553710938,17.7571964263916,0.36969080567359924,0.5450769066810608,6925,7898,6098,0.4059788224557165,0.6735031604766846,0.4360513389110565
172,16.779033660888672,17.688678741455078,0.618783175945282,0.6887937188148499,6925,7898,6098,0.629913239660622,0.9231029152870178,0.7404427528381348
173,16.42400550842285,17.65997314453125,0.7495214343070984,0.8234911561012268,6925,7898,6098,0.642337141001851,1.228633999824524,1.039876937866211
174,16.389774322509766,17.624046325683594,0.7935773730278015,0.931391179561615,6925,7898,6098,0.6805238796179256,1.2486462593078613,1.0332776308059692
175,16.543312072753906,17.65945816040039,0.7983102202415466,0.904283344745636,6925,7898,6098,0.6797923410611748,1.1518795490264893,0.9274955987930298
176,16.63800048828125,17.756973266601562,0.7782491445541382,0.8478660583496094,6925,7898,6098,0.6424331862206675,1.1630057096481323,0.9424922466278076
177,17.085084915161133,17.94597053527832,0.6925824284553528,0.7213484048843384,6925,7898,6098,0.43751248263641385,1.0302916765213013,0.7181119918823242
178,17.26857566833496,17.975759506225586,0.45934826135635376,0.6368189454078674,6925,7898,6098,0.3394443152430623,0.8811949491500854,0.6018258333206177
179,17.494247436523438,17.99167251586914,0.33198082447052,0.5491089820861816,6925,7898,6098,0.31856252576804567,0.6799676418304443,0.4089314341545105
180,17.382184982299805,17.97380828857422,0.3217580020427704,0.5486752986907959,6925,7898,6098,0.2840360743420369,0.7492625117301941,0.5078315734863281
181,17.732402801513672,18.192066192626953,0.3331087827682495,0.4915725886821747,6925,7898,6098,0.2035708427400823,0.6471114754676819,0.37547603249549866
182,17.845304489135742,18.216732025146484,0.33552443981170654,0.49343740940093994,6925,7898,6098,0.28170932668477844,0.5767652988433838,0.2804189622402191
183,17.7321720123291,18.220565795898438,0.48927971720695496,0.5454704761505127,6925,7898,6098,0.4715584994272401,0.6117751002311707,0.3434189260005951
184,17.24126625061035,18.157085418701172,0.7127946019172668,0.6681259870529175,6925,7898,6098,0.540196439900061,0.9459037780761719,0.7198793292045593
185,17.264984130859375,18.217092514038086,0.7218860387802124,0.6790083050727844,6925,7898,6098,0.4164473845346569,1.0474092960357666,0.7692453265190125
186,17.500064849853516,18.2967529296875,0.7201703786849976,0.6640158295631409,6925,7898,6098,0.21676565445416496,1.0293989181518555,0.6231904029846191
187,16.862071990966797,18.144182205200195,0.9623224139213562,0.8866590261459351,6925,7898,6098,0.4026786484004852,1.4358733892440796,1.0628025531768799
188,16.479761123657227,18.068952560424805,0.9650155305862427,1.0345592498779297,6925,7898,6098,0.5007866251452711,1.6918658018112183,1.3801419734954834
189,17.108440399169922,18.240245819091797,0.8724137544631958,0.9151366949081421,6925,7898,6098,0.36505482457968486,1.3635326623916626,0.9465710520744324
190,17.828834533691406,18.47482681274414,0.7562142014503479,0.840851902961731,6925,7898,6098,0.36102368612703983,0.9858977794647217,0.4654947519302368
191,18.565858840942383,18.82378578186035,0.6005539298057556,0.7236067652702332,6925,7898,6098,0.4960527426517744,0.6520645618438721,0.08299426734447479
