method_family,method_name,interpolation,domain_tested,mask_mode,rmse,mae,mean_bias,max_abs_error,pearson,spearman,nrmse,ssim,ncc,contour_score,gradient_corr,exact_match_possible,valid_cells_used,valid_fraction,notes,composite_score,rank
D_optimization_matching,ncc_translation_search,linear,roi,masked,0.8794626020127428,0.816010083395168,0.816010083395168,1.3241899139404296,-0.25273214699403407,-0.34169772683847266,1.0870312119309606,0.7125401264724803,-0.2527321469940341,0.08289376897175679,-0.1367080625356008,False,8296,0.9673507462686567,NCC translation,0.8739907311815664,544
B_linear_registration,similarity_manual_rot_+8.0deg,lanczos,roi,masked,0.8791365671301468,0.8131097122645021,0.8131097122645021,1.3152101165771484,-0.2609445882572229,-0.3678806769627786,1.0866282270936873,0.6943551451955737,-0.26094458825722294,0.09891582868254778,-0.04800839643816281,False,8158,0.9512593283582089,manual similarity,0.8748754852481926,545
B_linear_registration,similarity_manual_rot_+8.0deg,bicubic,roi,masked,0.8828541138720988,0.816827534020836,0.816827534020836,1.3257777801513662,-0.26481449340051444,-0.3653791885056662,1.091223180115073,0.7067820798184277,-0.2648144934005144,0.0962586716897223,-0.0726896606525103,False,8234,0.9601212686567164,manual similarity,0.8766440205561357,546
B_linear_registration,similarity_manual_rot_+8.0deg,nearest,roi,masked,0.884073570541765,0.8180546680027405,0.8180546680027405,1.3273780456542958,-0.26571490703759243,-0.36391311246510566,1.0927304499620123,0.7086549902739313,-0.26571490703759243,0.12851467241906286,-0.10719354319378767,False,8260,0.9631529850746269,manual similarity,0.8769883559483752,547
B_linear_registration,similarity_manual_rot_-4.0deg,bicubic,full,masked,0.7590660965603738,0.6077979599007868,0.6077932197906248,1.5273083679199217,-0.9349541725118803,-0.9045532733180096,0.6991168285151952,0.6740292072255877,-0.9349541725118805,0.14094857646677272,0.05613843768182199,False,24154,0.5591203703703703,manual similarity,0.8779379211236411,548
B_linear_registration,similarity_manual_rot_+8.0deg,linear,roi,masked,0.8840587107244525,0.8180524004284578,0.8180524004284578,1.325932275390624,-0.26569541739485814,-0.3638796342534229,1.0927120829670025,0.710689941910395,-0.2656954173948582,0.09148947350839513,-0.11063572847860369,False,8260,0.9631529850746269,manual similarity,0.8784730638566063,549
A_discrete_basic,scale_only_center_s0.90,nearest,roi,nomask,0.81161297170199,0.7165748650319541,0.7165748650319541,1.3101804382324218,-0.5274302601403692,-0.5826603462874459,1.0031678780075284,0.6683342808759166,-0.5274302601403691,0.1722867680521825,-0.02850647798717226,False,8576,1.0,scale only,0.8784775362200277,550
A_discrete_basic,scale_only_center_s1.15,nearest,full,masked,0.7635003933966358,0.6148034953963983,0.6148034953963983,1.6066388916015626,-0.9421814555651944,-0.8919465785656933,0.7203853313172951,0.7000429541501073,-0.9421814555651944,0.1431229622881375,0.044398889026166906,False,25761,0.5963194444444444,scale only,0.8812766012016612,551
A_discrete_basic,scale_only_center_s1.15,linear,full,masked,0.7634410919192711,0.6147736826065827,0.6147736826065827,1.6060361694335938,-0.9421410672495718,-0.891807654764085,0.7203293786094924,0.7002286978858874,-0.9421410672495718,0.1213058626483933,0.04773345757012014,False,25761,0.5963194444444444,scale only,0.8819664026600565,552
A_discrete_basic,scale_only_center_s0.90,bicubic,roi,nomask,0.8120078216597448,0.7170190190507405,0.7170190190507405,1.3083226806640624,-0.527038939001859,-0.582124537499737,1.0036559194855024,0.6690762987773621,-0.5270389390018589,0.08542716675175896,-0.03559047279387774,False,8576,1.0,scale only,0.8823206932335383,553
A_discrete_basic,scale_only_center_s0.90,linear,roi,nomask,0.8119922002184748,0.7170187036798962,0.7170187036798962,1.3086717254638671,-0.5271127364506218,-0.5821840027834092,1.0036366111099138,0.6691323019868771,-0.5271127364506218,0.08037688107665623,-0.03596106180020048,False,8576,1.0,scale only,0.8825396072886782,554
A_discrete_basic,scale_only_center_s0.90,nearest,roi,masked,0.806128254467516,0.7084193130875738,0.7084193130875738,1.3101804382324218,-0.5721703708407337,-0.6300522139416335,0.9963886712409824,0.6556314925959924,-0.572170370840734,0.17247566391460245,0.05329283230766817,False,8296,0.9673507462686567,scale only,0.8848431373400518,555
B_linear_registration,similarity_manual_rot_-8.0deg,nearest,full,masked,0.703934935776604,0.5655674817699545,0.5655674817699545,1.583434442138671,-0.9114495053163765,-0.8697326420819631,0.7305639933336132,0.7102526693831903,-0.911449505316377,0.12099825750005506,0.06467500820641217,False,20001,0.4629861111111111,manual similarity,0.886004193639199,556
B_linear_registration,similarity_manual_rot_-8.0deg,linear,full,masked,0.7038356578634204,0.5655404180054875,0.5655404180054875,1.5829080139160148,-0.9113513397784464,-0.8698741507845109,0.73046095984995,0.7122529049594409,-0.9113513397784462,0.09505403494250805,0.03508119038634252,False,19920,0.46111111111111114,manual similarity,0.8882447042024975,557
B_linear_registration,similarity_manual_rot_-4.0deg,lanczos,full,masked,0.7645347334959245,0.6133961588690363,0.6133957901373586,1.5272301666259764,-0.9361338819067966,-0.911000918181757,0.7213612619671878,0.678451942679844,-0.936133881906797,0.14129855234787475,0.05464651611876867,False,23465,0.5431712962962963,manual similarity,0.8882502576081197,558
A_discrete_basic,scale_only_center_s0.90,linear,roi,masked,0.8064912292733776,0.7088529928043701,0.7088529928043701,1.3086717254638671,-0.5717697453209607,-0.6296004107138361,0.9968373144717613,0.6566463058727656,-0.5717697453209606,0.09215803553819997,0.04201633992456493,False,8296,0.9673507462686567,scale only,0.8885639244727335,559
A_discrete_basic,scale_only_center_s0.90,bicubic,roi,masked,0.806509200551843,0.7088550744261783,0.7088550744261783,1.3083226806640624,-0.5717066670535373,-0.6295602591800148,0.9968595272873665,0.6566253123805587,-0.5717066670535372,0.09130817348966437,0.041047824363906624,False,8296,0.9673507462686567,scale only,0.8886362713152853,560
B_linear_registration,similarity_manual_rot_-8.0deg,bicubic,full,masked,0.7063461192412965,0.5680275678611683,0.5680275678611683,1.583382943725585,-0.9121678732452696,-0.874702164528602,0.733066389124898,0.715095183249368,-0.9121678732452696,0.09583763367020763,0.01779374893343016,False,19604,0.4537962962962963,manual similarity,0.8910678125366348,561
A_discrete_basic,scale_only_center_s1.15,bicubic,full,masked,0.7670953859777254,0.6183601606786265,0.6183601606786265,1.60631845703125,-0.9438937762357819,-0.8977960213906255,0.7439582833650727,0.7031887258278294,-0.9438937762357824,0.1312022225659236,0.048482467759282104,False,25334,0.5864351851851852,scale only,0.89160790880703,562
D_optimization_matching,isotherm_levelset_translation_search,linear,roi,nomask,0.8827872256801252,0.8107416600739779,0.8107416600739779,1.3392975372314453,-0.3546593788859416,-0.41938175749744483,1.091140505135809,0.7002392246747137,-0.35465937888594173,0.07903981521385489,-0.1991681276860085,False,8576,1.0,isotherm alignment,0.8934619007292331,563
