class_id,image_idx_0_based,day_index,date,rmse
4,154,155,2024-03-30,0.613113284111023
4,153,154,2024-03-29,0.6306700110435486
4,151,152,2024-03-27,0.6421481966972351
4,152,153,2024-03-28,0.655995786190033
5,203,204,2024-05-18,0.08175449073314667
5,204,205,2024-05-19,0.08877268433570862
5,170,171,2024-04-15,0.09054607897996902
5,202,203,2024-05-17,0.09583369642496109
5,80,81,2024-01-16,0.09693624824285507
5,60,61,2023-12-27,0.09707554429769516
5,83,84,2024-01-19,0.10169374942779541
5,61,62,2023-12-28,0.1074475422501564
5,205,206,2024-05-20,0.10801737010478973
5,208,209,2024-05-23,0.1208842322230339
5,209,210,2024-05-24,0.12241492420434952
5,101,102,2024-02-06,0.1225215420126915
5,79,80,2024-01-15,0.12273217737674713
5,174,175,2024-04-19,0.1233980655670166
5,201,202,2024-05-16,0.13030950725078583
5,175,176,2024-04-20,0.13296012580394745
5,62,63,2023-12-29,0.143412783741951
5,64,65,2023-12-31,0.145387664437294
5,100,101,2024-02-05,0.14610575139522552
5,316,317,2024-09-08,0.15536929666996002
5,63,64,2023-12-30,0.15553317964076996
5,99,100,2024-02-04,0.1631324142217636
5,106,107,2024-02-11,0.16798613965511322
5,200,201,2024-05-15,0.17506751418113708
5,315,316,2024-09-07,0.17524804174900055
5,312,313,2024-09-04,0.18990062177181244
5,105,106,2024-02-10,0.19867844879627228
5,212,213,2024-05-27,0.21803979575634003
5,323,324,2024-09-15,0.23574019968509674
5,324,325,2024-09-16,0.26938000321388245
6,55,56,2023-12-22,0.07523589581251144
6,50,51,2023-12-17,0.12691985070705414
6,211,212,2024-05-26,0.1269652545452118
6,207,208,2024-05-22,0.12919814884662628
6,54,55,2023-12-21,0.1351393312215805
6,49,50,2023-12-16,0.1382792890071869
6,231,232,2024-06-15,0.14054977893829346
6,51,52,2023-12-18,0.1434551328420639
6,52,53,2023-12-19,0.14877623319625854
6,228,229,2024-06-12,0.1621156483888626
6,169,170,2024-04-14,0.1675558239221573
6,197,198,2024-05-12,0.16963180899620056
6,56,57,2023-12-23,0.1710711270570755
6,193,194,2024-05-08,0.17194736003875732
6,206,207,2024-05-21,0.18407277762889862
6,325,326,2024-09-17,0.18500538170337677
6,48,49,2023-12-15,0.1855759620666504
6,177,178,2024-04-22,0.1919785588979721
6,198,199,2024-05-13,0.1937595009803772
6,229,230,2024-06-13,0.20216500759124756
6,317,318,2024-09-09,0.20777292549610138
6,53,54,2023-12-20,0.21452325582504272
6,311,312,2024-09-03,0.2165350764989853
6,232,233,2024-06-16,0.21719013154506683
6,176,177,2024-04-21,0.2208530157804489
6,199,200,2024-05-14,0.22452257573604584
6,57,58,2023-12-24,0.22537465393543243
6,218,219,2024-06-02,0.23015588521957397
6,58,59,2023-12-25,0.2370520979166031
6,115,116,2024-02-20,0.24247419834136963
6,230,231,2024-06-14,0.24447014927864075
6,59,60,2023-12-26,0.24604076147079468
6,82,83,2024-01-18,0.24775798618793488
6,210,211,2024-05-25,0.25040262937545776
6,318,319,2024-09-10,0.25068867206573486
6,217,218,2024-06-01,0.2673548460006714
6,238,239,2024-06-22,0.2683872580528259
6,102,103,2024-02-07,0.27070602774620056
6,110,111,2024-02-15,0.2744823098182678
6,116,117,2024-02-21,0.27479127049446106
6,108,109,2024-02-13,0.27499571442604065
6,109,110,2024-02-14,0.277950644493103
6,111,112,2024-02-16,0.28113558888435364
6,81,82,2024-01-17,0.28264951705932617
6,237,238,2024-06-21,0.28625789284706116
6,114,115,2024-02-19,0.28884801268577576
6,303,304,2024-08-26,0.29818111658096313
6,194,195,2024-05-09,0.30059561133384705
6,107,108,2024-02-12,0.3035903573036194
6,239,240,2024-06-23,0.30506953597068787
6,112,113,2024-02-17,0.3051206171512604
6,47,48,2023-12-14,0.3064144551753998
6,113,114,2024-02-18,0.30874019861221313
6,103,104,2024-02-08,0.32092761993408203
6,240,241,2024-06-24,0.32591280341148376
6,241,242,2024-06-25,0.3403005301952362
6,104,105,2024-02-09,0.3440168797969818
6,117,118,2024-02-22,0.34739017486572266
6,304,305,2024-08-27,0.3479357063770294
6,302,303,2024-08-25,0.3496556580066681
6,39,40,2023-12-06,0.34999343752861023
6,168,169,2024-04-13,0.3564092814922333
6,233,234,2024-06-17,0.36409837007522583
6,38,39,2023-12-05,0.37017613649368286
6,36,37,2023-12-03,0.40112653374671936
6,44,45,2023-12-11,0.4067419469356537
6,45,46,2023-12-12,0.41686543822288513
6,326,327,2024-09-18,0.42007362842559814
6,37,38,2023-12-04,0.4245472252368927
6,46,47,2023-12-13,0.4303058087825775
6,35,36,2023-12-02,0.4422757923603058
6,253,254,2024-07-07,0.45620402693748474
