z,filepath,x_index_min,x_index_max,y_index_min,y_index_max,mean_temp,std_temp,min_temp,max_temp,missing_fraction
87,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z087.png,1.0,112.0,1.0,64.0,14.50120735168457,0.1632242649793625,14.065999984741211,14.817999839782715,0.033900669642857095
88,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z088.png,1.0,112.0,1.0,64.0,14.551298141479492,0.09944033622741699,14.24899959564209,14.763999938964844,0.033900669642857095
89,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z089.png,1.0,112.0,1.0,64.0,14.585443496704102,0.11584379523992538,14.339730262756348,14.845000267028809,0.033900669642857095
90,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z090.png,1.0,112.0,1.0,64.0,14.65557861328125,0.1476515829563141,14.390000343322754,14.907999992370605,0.033900669642857095
91,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z091.png,1.0,112.0,1.0,64.0,14.745176315307617,0.16243797540664673,14.484270095825195,15.059000015258789,0.033900669642857095
92,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z092.png,1.0,112.0,1.0,64.0,14.866421699523926,0.16734136641025543,14.468541145324707,15.100000381469727,0.033900669642857095
93,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z093.png,1.0,112.0,1.0,64.0,15.114320755004883,0.1649363487958908,14.613325119018555,15.276000022888184,0.033900669642857095
94,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z094.png,1.0,112.0,1.0,64.0,15.205180168151855,0.16166120767593384,14.755352020263672,15.343387603759766,0.033900669642857095
95,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z095.png,1.0,112.0,1.0,64.0,15.22464656829834,0.15249252319335938,14.772270202636719,15.376640319824219,0.033900669642857095
96,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z096.png,1.0,112.0,1.0,64.0,15.220772743225098,0.12484677135944366,14.887459754943848,15.38700008392334,0.033900669642857095
97,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z097.png,1.0,112.0,1.0,64.0,15.417622566223145,0.1274464726448059,15.037864685058594,15.5857572555542,0.033900669642857095
98,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z098.png,1.0,112.0,1.0,64.0,15.273117065429688,0.09744196385145187,15.0333251953125,15.427568435668945,0.033900669642857095
99,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z099.png,1.0,112.0,1.0,64.0,15.161895751953125,0.10210651904344559,14.942000389099121,15.293999671936035,0.033900669642857095
